Symptoms,Disease
"headache, vomiting, cough, depression, chest pain, dizziness, appetite loss,7",Gastritis
"sore throat, joint pain, shortness of breath, nausea, diarrhea, sweating,6",Parkinson's
"swelling, joint pain, chest pain, depression, tremors, headache,6",Diabetes
"back pain, appetite loss, chest pain, insomnia, anxiety, headache,6",Depression
"abdominal pain, vomiting, sneezing, runny nose, joint pain,5",Anxiety
"sore throat, swelling, muscle pain, rash, anxiety, nausea,6",Parkinson's
"abdominal pain, dizziness, runny nose,3",COVID-19
"sneezing, abdominal pain, depression, sore throat,4",Arthritis
"chest pain, headache, sweating, insomnia, tremors, diarrhea,6",COVID-19
"weight loss, sore throat, cough,3",Dementia
"fatigue, runny nose, insomnia, back pain, weight gain, shortness of breath,6",Liver Disease
"fever, fatigue, back pain, insomnia, runny nose, nausea, blurred vision,7",COVID-19
"blurred vision, chest pain, dizziness, weight gain, back pain, runny nose,6",COVID-19
"dizziness, tremors, appetite loss, nausea, vomiting,5",Parkinson's
"tremors, insomnia, fatigue, muscle pain, weight loss,5",Parkinson's
"nausea, depression, sneezing,3",Pneumonia
"back pain, sneezing, chest pain, anxiety, swelling, rash, insomnia,7",Dermatitis
"sore throat, headache, fever, vomiting, fatigue,5",Depression
"vomiting, sneezing, depression,3",Hypertension
"vomiting, sore throat, chest pain, swelling, runny nose, headache, sneezing,7",Liver Disease
"back pain, blurred vision, runny nose, sneezing,4",Diabetes
"vomiting, chest pain, weight gain, sweating,4",Dementia
"fatigue, depression, tremors,3",Gastritis
"back pain, weight gain, anxiety, tremors, weight loss, chest pain,6",Dermatitis
"weight gain, back pain, anxiety, insomnia, sneezing, diarrhea, cough,7",Migraine
"weight loss, sore throat, shortness of breath, depression, muscle pain,5",Dementia
"runny nose, blurred vision, muscle pain, fever, nausea,5",Parkinson's
"diarrhea, abdominal pain, tremors, weight gain, insomnia, dizziness,6",Food Poisoning
"back pain, blurred vision, joint pain, muscle pain, sweating,5",Tuberculosis
"appetite loss, nausea, anxiety, vomiting, chest pain, blurred vision,6",Food Poisoning
"nausea, vomiting, anxiety, sneezing,4",Migraine
"vomiting, weight loss, cough, fever,4",Chronic Kidney Disease
"nausea, sweating, tremors, abdominal pain,4",Arthritis
"anxiety, diarrhea, fatigue,3",Liver Disease
"appetite loss, rash, swelling, cough, weight loss,5",Heart Disease
"anxiety, insomnia, fatigue, blurred vision, cough, runny nose, swelling,7",Dermatitis
"anxiety, appetite loss, fatigue, weight loss, cough, abdominal pain, sweating,7",Depression
"rash, nausea, back pain, chest pain,4",Dermatitis
"headache, depression, rash,3",Migraine
"runny nose, muscle pain, swelling, fever,4",Dermatitis
"nausea, sore throat, shortness of breath, rash, blurred vision, muscle pain, swelling,7",Chronic Kidney Disease
"muscle pain, appetite loss, diarrhea, headache, tremors, back pain, blurred vision,7",Tuberculosis
"runny nose, headache, swelling,3",Food Poisoning
"dizziness, joint pain, swelling, nausea, muscle pain,5",COVID-19
"weight gain, cough, depression, blurred vision,4",Arthritis
"joint pain, insomnia, blurred vision, weight loss, chest pain, dizziness,6",Chronic Kidney Disease
"anxiety, headache, blurred vision, joint pain, runny nose, depression, vomiting,7",Sinusitis
"blurred vision, rash, appetite loss, depression, joint pain, vomiting,6",Allergy
"joint pain, back pain, headache, abdominal pain, weight loss,5",Stroke
"chest pain, abdominal pain, dizziness, swelling, depression, nausea, fever,7",Epilepsy
"sweating, swelling, chest pain, back pain,4",Heart Disease
"sweating, rash, shortness of breath,3",Thyroid Disorder
"swelling, depression, fatigue,3",Pneumonia
"runny nose, dizziness, diarrhea,3",Thyroid Disorder
"tremors, anxiety, diarrhea, rash, chest pain, back pain, insomnia,7",Anemia
"abdominal pain, back pain, diarrhea, fatigue, dizziness, tremors,6",Tuberculosis
"headache, blurred vision, muscle pain,3",Ulcer
"muscle pain, headache, sneezing,3",COVID-19
"joint pain, weight gain, weight loss, abdominal pain, tremors, shortness of breath, sweating,7",Food Poisoning
"back pain, muscle pain, nausea, headache, abdominal pain, swelling,6",Ulcer
"tremors, abdominal pain, fatigue, blurred vision, vomiting, runny nose, sneezing,7",Anemia
"anxiety, tremors, muscle pain,3",Food Poisoning
"cough, abdominal pain, headache, fatigue, rash,5",Dementia
"fever, appetite loss, headache, sweating, weight gain, muscle pain,6",Chronic Kidney Disease
"sweating, back pain, sneezing, fever,4",Hypertension
"muscle pain, sneezing, weight gain,3",COVID-19
"appetite loss, joint pain, sneezing, sweating, back pain,5",Sinusitis
"abdominal pain, depression, runny nose, swelling,4",Obesity
"sore throat, appetite loss, anxiety, insomnia, muscle pain,5",Tuberculosis
"cough, insomnia, runny nose, back pain, shortness of breath, depression, sore throat,7",Gastritis
"weight loss, depression, fatigue, sore throat, vomiting,5",Allergy
"weight gain, abdominal pain, vomiting,3",Obesity
"fatigue, insomnia, weight loss,3",Sinusitis
"diarrhea, sweating, blurred vision, weight gain,4",Depression
"joint pain, weight gain, cough, sneezing, tremors,5",Parkinson's
"fever, abdominal pain, dizziness, joint pain, shortness of breath, sore throat,6",Diabetes
"headache, nausea, shortness of breath, swelling, sore throat,5",Diabetes
"cough, anxiety, dizziness, nausea,4",Arthritis
"dizziness, headache, muscle pain,3",IBS
"cough, vomiting, diarrhea,3",Anxiety
"abdominal pain, swelling, tremors, joint pain, fatigue, shortness of breath,6",Asthma
"sore throat, sneezing, fever, muscle pain, depression, diarrhea,6",Stroke
"diarrhea, swelling, weight loss,3",Dementia
"runny nose, sore throat, depression, abdominal pain, vomiting, headache,6",Dementia
"weight loss, muscle pain, runny nose, cough,4",Depression
"fever, cough, sneezing, shortness of breath,4",Chronic Kidney Disease
"sweating, depression, vomiting, weight gain, abdominal pain,5",IBS
"weight gain, sore throat, chest pain, sweating, joint pain, blurred vision, fatigue,7",Thyroid Disorder
"muscle pain, vomiting, anxiety, abdominal pain, appetite loss,5",Stroke
"swelling, blurred vision, runny nose, shortness of breath, diarrhea,5",Allergy
"anxiety, dizziness, fever, blurred vision, headache, depression,6",Hypertension
"insomnia, nausea, muscle pain,3",Common Cold
"weight loss, sore throat, appetite loss, depression, swelling, sweating,6",Migraine
"rash, sweating, joint pain,3",Ulcer
"sweating, swelling, appetite loss, blurred vision,4",IBS
"runny nose, fever, diarrhea, back pain,4",Food Poisoning
"vomiting, sore throat, sweating, anxiety, depression,5",Bronchitis
"cough, shortness of breath, sneezing, blurred vision, anxiety,5",Migraine
"fatigue, shortness of breath, weight gain, abdominal pain, sneezing, nausea,6",Anxiety
"insomnia, tremors, anxiety, weight gain, nausea, sore throat, swelling,7",Thyroid Disorder
"tremors, diarrhea, abdominal pain, back pain, shortness of breath, vomiting, insomnia,7",Heart Disease
"shortness of breath, insomnia, weight loss, runny nose, fever, muscle pain, depression,7",Stroke
"muscle pain, tremors, shortness of breath, fatigue, insomnia,5",Dermatitis
"swelling, cough, back pain, diarrhea, sweating, shortness of breath, muscle pain,7",Food Poisoning
"vomiting, dizziness, sore throat, weight gain, fever, diarrhea,6",Common Cold
"vomiting, nausea, dizziness, chest pain,4",Bronchitis
"sneezing, muscle pain, appetite loss,3",Pneumonia
"sweating, shortness of breath, diarrhea, fatigue, sneezing,5",Bronchitis
"abdominal pain, appetite loss, diarrhea, sore throat, swelling,5",Anxiety
"depression, runny nose, weight gain,3",Obesity
"joint pain, dizziness, tremors,3",Bronchitis
"cough, chest pain, anxiety, depression, muscle pain, sore throat,6",Influenza
"chest pain, tremors, joint pain,3",Stroke
"diarrhea, anxiety, appetite loss, insomnia, sweating, fever,6",Obesity
"anxiety, tremors, fatigue, dizziness, depression, insomnia,6",Depression
"weight gain, vomiting, fatigue, fever, anxiety,5",Epilepsy
"weight gain, headache, depression, abdominal pain,4",Depression
"runny nose, nausea, diarrhea, headache, cough, back pain, swelling,7",Migraine
"chest pain, weight gain, weight loss, swelling, headache,5",Epilepsy
"chest pain, rash, fever, abdominal pain, weight gain,5",Parkinson's
"abdominal pain, sweating, weight loss, tremors,4",Influenza
"depression, vomiting, appetite loss, sore throat,4",Hypertension
"anxiety, blurred vision, dizziness, weight gain, swelling, appetite loss,6",Migraine
"fatigue, runny nose, appetite loss, cough,4",Gastritis
"blurred vision, diarrhea, runny nose, anxiety,4",Allergy
"appetite loss, back pain, joint pain, vomiting, nausea,5",Thyroid Disorder
"rash, fever, weight loss,3",Common Cold
"depression, weight gain, swelling, rash,4",Ulcer
"nausea, diarrhea, shortness of breath, back pain, dizziness,5",Hypertension
"fever, nausea, sweating, shortness of breath,4",Diabetes
"depression, appetite loss, fatigue, dizziness, vomiting, chest pain,6",Tuberculosis
"insomnia, nausea, abdominal pain, appetite loss, anxiety,5",Depression
"appetite loss, vomiting, weight loss, joint pain,4",Tuberculosis
"depression, diarrhea, cough, swelling, anxiety, weight gain,6",Parkinson's
"dizziness, diarrhea, cough, depression,4",Depression
"weight gain, sneezing, vomiting, back pain, sore throat, sweating, insomnia,7",Dermatitis
"swelling, depression, tremors, abdominal pain, rash, sneezing,6",Epilepsy
"abdominal pain, blurred vision, sneezing, shortness of breath, weight gain,5",Gastritis
"vomiting, diarrhea, runny nose,3",Allergy
"joint pain, weight gain, nausea, rash, shortness of breath, weight loss,6",Chronic Kidney Disease
"abdominal pain, rash, diarrhea, weight gain, cough, runny nose,6",Chronic Kidney Disease
"runny nose, muscle pain, sweating, rash, sneezing, dizziness,6",Liver Disease
"diarrhea, shortness of breath, depression, sore throat, rash, swelling,6",Diabetes
"appetite loss, shortness of breath, diarrhea,3",Stroke
"weight loss, vomiting, dizziness,3",Food Poisoning
"back pain, sweating, swelling, insomnia, tremors,5",Heart Disease
"tremors, swelling, blurred vision, back pain,4",Parkinson's
"chest pain, sweating, rash, appetite loss, joint pain,5",Obesity
"depression, abdominal pain, swelling, headache, joint pain, diarrhea,6",Common Cold
"weight gain, appetite loss, weight loss, swelling, runny nose, back pain, dizziness,7",Asthma
"muscle pain, swelling, blurred vision, vomiting,4",Dermatitis
"headache, weight gain, tremors, chest pain, back pain,5",Common Cold
"dizziness, diarrhea, muscle pain, insomnia, swelling,5",Anxiety
"weight gain, fever, appetite loss, cough, headache,5",Chronic Kidney Disease
"anxiety, weight gain, joint pain, appetite loss, vomiting, swelling, sore throat,7",Allergy
"dizziness, weight gain, runny nose,3",Migraine
"insomnia, weight loss, nausea,3",Diabetes
"nausea, vomiting, sore throat,3",Migraine
"insomnia, abdominal pain, sore throat, runny nose, cough,5",Asthma
"tremors, muscle pain, joint pain, nausea, fatigue,5",Diabetes
"joint pain, tremors, vomiting,3",Migraine
"nausea, anxiety, weight gain, chest pain, appetite loss, vomiting,6",Liver Disease
"fever, headache, runny nose, sore throat,4",Heart Disease
"abdominal pain, dizziness, weight gain, sneezing,4",Depression
"chest pain, depression, runny nose,3",Influenza
"joint pain, anxiety, sweating, appetite loss, tremors,5",Depression
"back pain, muscle pain, runny nose, joint pain, insomnia, nausea, weight gain,7",Diabetes
"tremors, nausea, shortness of breath, depression,4",Influenza
"blurred vision, back pain, vomiting,3",Bronchitis
"sore throat, swelling, fatigue, abdominal pain, dizziness,5",Pneumonia
"abdominal pain, cough, runny nose, fever,4",Heart Disease
"joint pain, dizziness, back pain, tremors, vomiting, swelling,6",Arthritis
"dizziness, insomnia, back pain, runny nose,4",Pneumonia
"insomnia, diarrhea, blurred vision, runny nose, headache, sneezing, shortness of breath,7",COVID-19
"anxiety, fatigue, nausea,3",Anxiety
"nausea, sore throat, insomnia, swelling, fever, appetite loss,6",Thyroid Disorder
"vomiting, blurred vision, cough, insomnia,4",Food Poisoning
"sweating, depression, appetite loss,3",Anemia
"joint pain, blurred vision, chest pain,3",Anemia
"swelling, joint pain, vomiting,3",Common Cold
"fever, muscle pain, dizziness,3",Hypertension
"diarrhea, fatigue, appetite loss,3",Arthritis
"cough, muscle pain, abdominal pain, fatigue,4",Thyroid Disorder
"anxiety, vomiting, weight loss, joint pain,4",Stroke
"rash, dizziness, nausea,3",Hypertension
"joint pain, vomiting, runny nose,3",Gastritis
"depression, anxiety, rash, cough, sore throat,5",Anxiety
"sneezing, fatigue, blurred vision, weight loss, weight gain, nausea, shortness of breath,7",Obesity
"insomnia, swelling, blurred vision, headache, dizziness, nausea,6",Allergy
"sore throat, dizziness, fever, anxiety, weight gain, runny nose,6",Dermatitis
"abdominal pain, weight gain, blurred vision, fever,4",Thyroid Disorder
"chest pain, diarrhea, back pain,3",Obesity
"headache, rash, sneezing,3",COVID-19
"depression, cough, diarrhea, back pain,4",IBS
"headache, shortness of breath, dizziness, depression, appetite loss,5",Sinusitis
"depression, sweating, chest pain, swelling, fever, diarrhea,6",Depression
"weight loss, cough, insomnia, diarrhea,4",Asthma
"anxiety, tremors, joint pain, abdominal pain,4",Thyroid Disorder
"sore throat, tremors, sneezing,3",Allergy
"vomiting, headache, sore throat, nausea,4",Allergy
"sore throat, muscle pain, back pain, runny nose, chest pain, nausea, vomiting,7",Asthma
"chest pain, weight gain, runny nose, depression,4",Parkinson's
"joint pain, nausea, sneezing, runny nose, muscle pain,5",COVID-19
"sweating, appetite loss, sneezing, fever,4",Liver Disease
"swelling, chest pain, anxiety,3",Dermatitis
"shortness of breath, joint pain, runny nose, chest pain,4",Thyroid Disorder
"sneezing, sore throat, dizziness, headache, blurred vision, tremors, vomiting,7",Stroke
"back pain, tremors, rash, sneezing, joint pain, muscle pain, sweating,7",Common Cold
"depression, weight gain, sore throat, muscle pain, cough,5",Migraine
"swelling, muscle pain, shortness of breath, back pain,4",Diabetes
"blurred vision, cough, depression, joint pain, muscle pain,5",Migraine
"sweating, rash, depression,3",Migraine
"shortness of breath, anxiety, runny nose, insomnia,4",Anemia
"insomnia, sweating, nausea, fever, fatigue, sore throat, depression,7",Parkinson's
"sore throat, abdominal pain, vomiting, muscle pain, nausea, swelling, shortness of breath,7",Anemia
"weight gain, chest pain, back pain, muscle pain, appetite loss, sore throat,6",Stroke
"sweating, headache, shortness of breath, back pain, vomiting,5",Obesity
"nausea, sweating, sneezing,3",Chronic Kidney Disease
"abdominal pain, muscle pain, depression, chest pain, back pain, sweating,6",Obesity
"vomiting, sneezing, nausea, abdominal pain,4",Diabetes
"nausea, vomiting, cough, back pain,4",Anxiety
"runny nose, depression, anxiety, fatigue, sweating, nausea,6",Sinusitis
"shortness of breath, sore throat, dizziness,3",IBS
"insomnia, swelling, fatigue, fever, cough, shortness of breath,6",Migraine
"fatigue, vomiting, abdominal pain,3",Dementia
"swelling, shortness of breath, sneezing, appetite loss, dizziness, anxiety, muscle pain,7",Parkinson's
"dizziness, sweating, diarrhea, rash, insomnia,5",Sinusitis
"tremors, dizziness, appetite loss, fatigue, fever,5",Influenza
"fever, anxiety, fatigue, tremors,4",Thyroid Disorder
"rash, runny nose, anxiety, insomnia,4",Obesity
"fever, depression, sweating, dizziness,4",Liver Disease
"appetite loss, back pain, dizziness,3",Dermatitis
"joint pain, back pain, anxiety, sore throat, rash, muscle pain,6",Parkinson's
"back pain, joint pain, chest pain,3",Sinusitis
"weight gain, appetite loss, blurred vision, abdominal pain, cough, headache, sneezing,7",Tuberculosis
"tremors, runny nose, nausea, sweating, fatigue, sneezing, insomnia,7",Anxiety
"swelling, insomnia, blurred vision, sore throat,4",Hypertension
"dizziness, joint pain, swelling, shortness of breath,4",Common Cold
"insomnia, headache, weight loss,3",Migraine
"tremors, diarrhea, weight gain, swelling, anxiety,5",Depression
"depression, tremors, appetite loss, weight loss, muscle pain, diarrhea,6",IBS
"fatigue, sore throat, dizziness,3",Chronic Kidney Disease
"weight gain, rash, headache,3",Thyroid Disorder
"chest pain, cough, weight gain,3",Dementia
"swelling, rash, appetite loss, insomnia, headache,5",Liver Disease
"fatigue, joint pain, fever, weight loss,4",Dementia
"sweating, diarrhea, sneezing, insomnia, runny nose,5",Tuberculosis
"anxiety, dizziness, chest pain,3",Tuberculosis
"sneezing, depression, vomiting, tremors, chest pain, blurred vision, joint pain,7",Heart Disease
"tremors, back pain, appetite loss, diarrhea,4",Anxiety
"back pain, joint pain, chest pain, insomnia, nausea, fever,6",Dermatitis
"rash, swelling, joint pain, appetite loss, sore throat, abdominal pain,6",Liver Disease
"blurred vision, tremors, weight loss, joint pain,4",Anemia
"tremors, appetite loss, cough, blurred vision, chest pain, runny nose, depression,7",Obesity
"chest pain, headache, vomiting, appetite loss, back pain, swelling,6",Ulcer
"fatigue, insomnia, appetite loss, headache, joint pain, muscle pain, sweating,7",Food Poisoning
"sneezing, nausea, cough, fatigue, abdominal pain,5",Pneumonia
"depression, back pain, joint pain, diarrhea,4",Liver Disease
"chest pain, blurred vision, anxiety, nausea, depression, joint pain,6",IBS
"swelling, runny nose, tremors,3",Arthritis
"rash, fever, fatigue, appetite loss, sore throat, swelling,6",Heart Disease
"diarrhea, fever, weight gain, appetite loss, swelling, sneezing, shortness of breath,7",Bronchitis
"sneezing, depression, blurred vision, muscle pain, chest pain, weight gain,6",Diabetes
"nausea, joint pain, blurred vision, fever, sweating, weight loss, appetite loss,7",COVID-19
"sweating, weight gain, weight loss, blurred vision, depression, fatigue, vomiting,7",COVID-19
"blurred vision, nausea, fever, weight loss, runny nose, dizziness, fatigue,7",Dermatitis
"sore throat, weight loss, shortness of breath, tremors,4",Hypertension
"chest pain, rash, weight loss, nausea, muscle pain, insomnia, fever,7",Pneumonia
"insomnia, weight loss, runny nose, headache, weight gain,5",Epilepsy
"anxiety, weight loss, abdominal pain, vomiting, blurred vision,5",Epilepsy
"vomiting, headache, chest pain,3",Asthma
"vomiting, weight gain, rash, shortness of breath, headache, anxiety, muscle pain,7",Parkinson's
"depression, nausea, joint pain, runny nose, sore throat, shortness of breath,6",Heart Disease
"vomiting, sore throat, depression, back pain, shortness of breath, appetite loss, blurred vision,7",Tuberculosis
"anxiety, nausea, muscle pain, headache, dizziness, appetite loss, joint pain,7",Arthritis
"fatigue, weight loss, insomnia, muscle pain, sore throat,5",COVID-19
"swelling, shortness of breath, headache, tremors, appetite loss,5",Food Poisoning
"diarrhea, joint pain, fatigue, appetite loss, nausea, abdominal pain,6",Pneumonia
"fatigue, abdominal pain, rash, blurred vision, weight gain, chest pain,6",Anxiety
"nausea, dizziness, swelling,3",Pneumonia
"weight loss, anxiety, joint pain, sneezing, weight gain, headache, shortness of breath,7",Depression
"insomnia, headache, joint pain, weight gain,4",Anemia
"blurred vision, swelling, diarrhea, insomnia, anxiety,5",Bronchitis
"appetite loss, runny nose, abdominal pain, chest pain, shortness of breath,5",Ulcer
"chest pain, depression, tremors, sore throat,4",Sinusitis
"depression, sore throat, back pain,3",Dermatitis
"sore throat, back pain, chest pain,3",Dementia
"back pain, headache, sneezing, appetite loss, abdominal pain, insomnia, blurred vision,7",Liver Disease
"anxiety, vomiting, sweating,3",IBS
"back pain, rash, diarrhea, tremors, insomnia, abdominal pain, swelling,7",Liver Disease
"insomnia, swelling, abdominal pain, diarrhea,4",Ulcer
"abdominal pain, rash, cough, muscle pain,4",Anxiety
"dizziness, insomnia, diarrhea,3",Food Poisoning
"sneezing, chest pain, shortness of breath, vomiting, fever,5",Chronic Kidney Disease
"chest pain, depression, abdominal pain, sweating,4",IBS
"cough, rash, fever, anxiety, runny nose, dizziness,6",Dermatitis
"back pain, nausea, joint pain, rash, fever,5",Common Cold
"abdominal pain, headache, muscle pain,3",Hypertension
"diarrhea, sneezing, joint pain, rash, chest pain,5",Tuberculosis
"fatigue, runny nose, insomnia, sweating, nausea,5",Stroke
"rash, tremors, blurred vision,3",Liver Disease
"headache, joint pain, muscle pain,3",Chronic Kidney Disease
"sneezing, insomnia, shortness of breath, fatigue,4",Diabetes
"dizziness, swelling, joint pain, abdominal pain,4",Migraine
"appetite loss, fever, headache,3",Pneumonia
"cough, insomnia, sweating, dizziness,4",Common Cold
"sneezing, chest pain, sweating, tremors, sore throat, muscle pain,6",Common Cold
"nausea, diarrhea, shortness of breath, swelling, fatigue, appetite loss, sweating,7",Thyroid Disorder
"blurred vision, back pain, abdominal pain,3",Migraine
"depression, tremors, headache, diarrhea, fatigue, appetite loss, joint pain,7",Dermatitis
"muscle pain, fever, anxiety, vomiting,4",Bronchitis
"chest pain, blurred vision, depression, diarrhea, swelling, dizziness, muscle pain,7",Liver Disease
"chest pain, fatigue, shortness of breath,3",Liver Disease
"diarrhea, dizziness, cough, nausea, appetite loss, fever,6",Anemia
"chest pain, sneezing, shortness of breath, anxiety,4",Gastritis
"rash, dizziness, chest pain, fatigue, swelling, insomnia,6",Heart Disease
"dizziness, rash, back pain, appetite loss,4",Obesity
"diarrhea, depression, shortness of breath, vomiting, weight gain,5",Parkinson's
"fatigue, cough, weight gain, depression, vomiting, back pain, runny nose,7",Tuberculosis
"chest pain, back pain, sneezing, swelling, vomiting,5",Parkinson's
"muscle pain, weight loss, blurred vision, shortness of breath,4",Tuberculosis
"runny nose, depression, blurred vision, fatigue, muscle pain,5",Sinusitis
"appetite loss, fever, nausea, anxiety, shortness of breath, blurred vision, headache,7",Epilepsy
"back pain, sweating, joint pain, sneezing,4",Influenza
"runny nose, swelling, abdominal pain, joint pain,4",COVID-19
"vomiting, nausea, fever, weight gain, blurred vision,5",Parkinson's
"shortness of breath, chest pain, diarrhea, sweating, blurred vision, tremors, weight loss,7",Epilepsy
"diarrhea, chest pain, cough, depression, headache, shortness of breath, back pain,7",Influenza
"weight loss, fatigue, fever, depression,4",Asthma
"sore throat, blurred vision, weight loss, shortness of breath, back pain,5",Food Poisoning
"cough, depression, sweating, fever, rash,5",Chronic Kidney Disease
"weight loss, insomnia, tremors,3",Heart Disease
"depression, shortness of breath, tremors, appetite loss, anxiety, weight loss,6",Thyroid Disorder
"vomiting, weight gain, depression, appetite loss, tremors,5",Gastritis
"back pain, muscle pain, rash, headache,4",Ulcer
"nausea, sweating, tremors, vomiting, weight gain, sneezing,6",Diabetes
"chest pain, nausea, sweating,3",Chronic Kidney Disease
"headache, sore throat, muscle pain,3",Hypertension
"back pain, abdominal pain, headache,3",IBS
"joint pain, fever, fatigue, sweating, depression, cough,6",Pneumonia
"depression, anxiety, fever, appetite loss,4",Heart Disease
"tremors, blurred vision, sore throat, vomiting, headache,5",Thyroid Disorder
"chest pain, dizziness, sneezing, headache,4",Anxiety
"depression, weight loss, fatigue, fever, sweating,5",Anemia
"abdominal pain, sweating, muscle pain,3",Chronic Kidney Disease
"muscle pain, joint pain, headache, rash,4",Common Cold
"insomnia, blurred vision, fatigue, sneezing, nausea, appetite loss,6",Bronchitis
"anxiety, dizziness, fatigue,3",Food Poisoning
"nausea, muscle pain, abdominal pain, dizziness,4",Parkinson's
"insomnia, chest pain, anxiety, sweating,4",Liver Disease
"insomnia, rash, shortness of breath, blurred vision, sore throat, fever,6",Heart Disease
"joint pain, runny nose, back pain, appetite loss,4",Gastritis
"muscle pain, back pain, shortness of breath, headache, sore throat, dizziness, swelling,7",Pneumonia
"muscle pain, sneezing, blurred vision, tremors, anxiety, depression,6",Gastritis
"joint pain, muscle pain, weight loss, sneezing,4",Bronchitis
"sweating, diarrhea, joint pain, sore throat, weight gain, blurred vision, muscle pain,7",Stroke
"blurred vision, sore throat, diarrhea, rash,4",Depression
"sneezing, headache, fatigue, cough, rash, back pain, sweating,7",Food Poisoning
"muscle pain, diarrhea, vomiting, sweating, cough, headache, fatigue,7",Anxiety
"blurred vision, muscle pain, rash,3",Thyroid Disorder
"sore throat, sneezing, anxiety, nausea, fever, headache, rash,7",Arthritis
"weight gain, sweating, muscle pain,3",COVID-19
"back pain, abdominal pain, blurred vision, chest pain,4",Thyroid Disorder
"appetite loss, depression, blurred vision, fever, chest pain, fatigue,6",Gastritis
"swelling, nausea, abdominal pain, sweating, fever, joint pain, muscle pain,7",Influenza
"weight gain, abdominal pain, chest pain, blurred vision, diarrhea,5",Anemia
"joint pain, headache, back pain, vomiting, tremors, anxiety, cough,7",COVID-19
"anxiety, sweating, sore throat, blurred vision, runny nose, sneezing, dizziness,7",Anxiety
"nausea, cough, appetite loss, rash, depression, muscle pain,6",Anxiety
"rash, anxiety, swelling,3",Pneumonia
"nausea, weight loss, fatigue, sore throat, vomiting,5",Asthma
"vomiting, depression, cough, diarrhea, shortness of breath, sore throat, weight gain,7",Hypertension
"cough, tremors, dizziness, sore throat, chest pain, fever,6",Depression
"dizziness, swelling, joint pain, back pain,4",Epilepsy
"dizziness, muscle pain, back pain,3",Arthritis
"fever, weight gain, appetite loss, joint pain,4",Depression
"headache, insomnia, runny nose, sore throat,4",Chronic Kidney Disease
"appetite loss, insomnia, depression, headache,4",Asthma
"depression, abdominal pain, swelling, dizziness, runny nose, headache, appetite loss,7",Epilepsy
"cough, blurred vision, swelling, insomnia, joint pain, diarrhea,6",Dermatitis
"weight gain, depression, sneezing, fatigue,4",COVID-19
"weight loss, tremors, appetite loss, sore throat, sneezing,5",Obesity
"nausea, sore throat, shortness of breath, weight gain, rash,5",Diabetes
"shortness of breath, sneezing, tremors, swelling, runny nose, depression,6",Diabetes
"rash, tremors, chest pain,3",Migraine
"runny nose, rash, abdominal pain, tremors,4",Bronchitis
"abdominal pain, runny nose, shortness of breath, insomnia, cough, anxiety,6",COVID-19
"blurred vision, sweating, weight loss, fever,4",Depression
"weight gain, joint pain, tremors, sore throat,4",IBS
"rash, runny nose, depression,3",Arthritis
"back pain, fatigue, joint pain, swelling,4",COVID-19
"dizziness, anxiety, sneezing,3",Gastritis
"shortness of breath, runny nose, cough,3",Migraine
"dizziness, weight gain, cough, anxiety,4",Tuberculosis
"appetite loss, muscle pain, sneezing, vomiting, cough,5",Bronchitis
"shortness of breath, depression, nausea, sore throat, headache,5",Liver Disease
"tremors, blurred vision, runny nose, muscle pain, abdominal pain,5",COVID-19
"sore throat, muscle pain, dizziness,3",Diabetes
"muscle pain, sneezing, weight loss, blurred vision, appetite loss,5",Hypertension
"joint pain, sweating, fever, weight loss, anxiety, vomiting, sore throat,7",Food Poisoning
"dizziness, insomnia, sweating, back pain,4",Parkinson's
"headache, sneezing, dizziness, fatigue, insomnia, muscle pain,6",Tuberculosis
"sweating, headache, depression, runny nose, appetite loss, weight gain,6",Common Cold
"muscle pain, blurred vision, weight loss, swelling,4",Thyroid Disorder
"vomiting, insomnia, weight gain, fever, rash,5",Hypertension
"abdominal pain, sweating, tremors, fatigue, blurred vision,5",Chronic Kidney Disease
"rash, tremors, weight loss, muscle pain, abdominal pain, dizziness,6",Liver Disease
"nausea, weight loss, anxiety, muscle pain, joint pain,5",Liver Disease
"depression, chest pain, blurred vision, anxiety, fatigue, sore throat,6",Arthritis
"anxiety, muscle pain, fatigue,3",Allergy
"abdominal pain, weight gain, appetite loss, cough, insomnia, chest pain,6",Pneumonia
"weight loss, joint pain, fatigue, vomiting, sneezing, appetite loss,6",Asthma
"fever, rash, appetite loss, diarrhea, abdominal pain, chest pain,6",Bronchitis
"insomnia, diarrhea, fever, muscle pain, cough, appetite loss,6",Chronic Kidney Disease
"sweating, back pain, anxiety, dizziness, swelling, nausea, weight gain,7",Anxiety
"anxiety, depression, joint pain, sweating,4",IBS
"back pain, nausea, joint pain, dizziness, abdominal pain, sweating,6",Tuberculosis
"abdominal pain, fatigue, depression, weight gain,4",Anemia
"sweating, weight loss, nausea, dizziness, vomiting,5",Bronchitis
"depression, swelling, weight gain,3",Liver Disease
"sore throat, weight gain, joint pain, fever, back pain, headache, runny nose,7",Anemia
"depression, diarrhea, chest pain, vomiting,4",Diabetes
"swelling, shortness of breath, insomnia, cough, sweating, sore throat,6",Obesity
"tremors, fatigue, sweating, runny nose, anxiety, appetite loss, blurred vision,7",Allergy
"sore throat, sneezing, tremors, rash,4",Sinusitis
"appetite loss, fever, muscle pain, sore throat, sneezing, depression,6",Pneumonia
"dizziness, depression, runny nose, nausea, swelling, chest pain,6",Liver Disease
"tremors, cough, fatigue, dizziness, rash, sneezing, anxiety,7",Dementia
